source,gender_category,category1,category1_name_vi,product_slug,product_name,sku,price,special_price,product_url,caption,image_1_url,image_1_local_path,image_2_url,image_2_local_path,image_3_url,image_3_local_path
canifa,nu,ao-phong,Áo phông / Áo thun,ao-giu-nhiet-nu-6it25w004,Áo giữ nhiệt nữ Heatplus cổ lửng,6IT25W004,299000,254150,https://canifa.com/ao-giu-nhiet-nu-6it25w004,"Áo giữ nhiệt nữ cổ lửng, phom ôm sát cơ thể, chất liệu giữ nhiệt mềm mại, nhẹ mà ấm áp.",https://2885371169.e.cdneverest.net/catalog/product/6/i/6it25w004-sk010-1.webp,D:\canifa_dataset\images\ao-giu-nhiet-nu-6it25w004_1.webp,https://2885371169.e.cdneverest.net/catalog/product/6/i/6it25w004-sk010-m-1-u.webp,D:\canifa_dataset\images\ao-giu-nhiet-nu-6it25w004_2.webp,https://2885371169.e.cdneverest.net/catalog/product/6/i/6it25w004-sk010-m-2.webp,D:\canifa_dataset\images\ao-giu-nhiet-nu-6it25w004_3.webp
canifa,nu,ao-phong,Áo phông / Áo thun,ao-giu-nhiet-nu-6it25w003,Áo giữ nhiệt nữ Heatplus cổ tròn,6IT25W003,279000,237150,https://canifa.com/ao-giu-nhiet-nu-6it25w003,"Áo giữ nhiệt nữ cổ tròn, phom ôm sát cơ thể, chất liệu giữ nhiệt mềm mại, nhẹ mà ấm áp.",https://2885371169.e.cdneverest.net/catalog/product/6/i/6it25w003-sn114-1.webp,D:\canifa_dataset\images\ao-giu-nhiet-nu-6it25w003_1.webp,https://2885371169.e.cdneverest.net/catalog/product/6/i/6it25w003-sn114-m-1-u.webp,D:\canifa_dataset\images\ao-giu-nhiet-nu-6it25w003_2.webp,https://2885371169.e.cdneverest.net/catalog/product/6/i/6it25w003-sn114-m-2.webp,D:\canifa_dataset\images\ao-giu-nhiet-nu-6it25w003_3.webp
canifa,nu,ao-phong,Áo phông / Áo thun,ao-body-nu-6it25w006,Áo body nữ cổ cao,6IT25W006,299000,224250,https://canifa.com/ao-body-nu-6it25w006,"Áo body nữ cổ cao, chất liệu vải rib mềm mại rất phù hợp với phom dáng ôm sát cơ thể, giữ ấm và thoải mái khi sử dụng.",https://2885371169.e.cdneverest.net/catalog/product/6/i/6it25w006-sa871-m-1-u.webp,D:\canifa_dataset\images\ao-body-nu-6it25w006_1.webp,https://2885371169.e.cdneverest.net/catalog/product/6/i/6it25w006-sa871-m-2.webp,D:\canifa_dataset\images\ao-body-nu-6it25w006_2.webp,https://2885371169.e.cdneverest.net/catalog/product/6/i/6it25w006-sa871-m-3.webp,D:\canifa_dataset\images\ao-body-nu-6it25w006_3.webp
canifa,nu,ao-phong,Áo phông / Áo thun,ao-giu-nhiet-nu-6it25w005,Áo giữ nhiệt Heatplus nữ cổ lọ,6IT25W005,299000,254150,https://canifa.com/ao-giu-nhiet-nu-6it25w005,"Áo giữ nhiệt nữ cổ lọ, với chất liệu sợi tổng hợp và cấu trúc dệt đặc biệt biến nhiệt lượng trong cơ thể chuyền qua sợi vải và được giữ lại làm ấm cơ thể, giúp cho cơ thể luôn ấm áp cộng với cảm giác mềm mại, nhẹ nhàng từ sợi vải mang lại sự thoải mái tối đa cho khách hàng.",https://2885371169.e.cdneverest.net/catalog/product/6/i/6it25w005-sk010-m-1-u.webp,D:\canifa_dataset\images\ao-giu-nhiet-nu-6it25w005_1.webp,https://2885371169.e.cdneverest.net/catalog/product/6/i/6it25w005-sk010-m-2.webp,D:\canifa_dataset\images\ao-giu-nhiet-nu-6it25w005_2.webp,https://2885371169.e.cdneverest.net/catalog/product/6/i/6it25w005-sk010-m-3.webp,D:\canifa_dataset\images\ao-giu-nhiet-nu-6it25w005_3.webp
canifa,nu,ao-phong,Áo phông / Áo thun,ao-phong-nam-5tl25w001-sb319,Áo phông unisex người lớn Cotton USA có hình in,5TL25W001-SB319,499000,349300,https://canifa.com/ao-phong-nam-5tl25w001-sb319,"Áo phông unisex người lớn Cotton USA, dài tay cổ tim có phối màu tay áo, điểm nhấn đồ họa trẻ trung phù hợp cho cả nam và nữ.",https://2885371169.e.cdneverest.net/catalog/product/5/t/5tl25w001-sb319-l-1-u.webp,D:\canifa_dataset\images\ao-phong-nam-5tl25w001-sb319_1.webp,https://2885371169.e.cdneverest.net/catalog/product/5/t/5tl25w001-sb319-l-2.webp,D:\canifa_dataset\images\ao-phong-nam-5tl25w001-sb319_2.webp,https://2885371169.e.cdneverest.net/catalog/product/5/t/5tl25w001-sb319-l-3.webp,D:\canifa_dataset\images\ao-phong-nam-5tl25w001-sb319_3.webp
canifa,nu,ao-phong,Áo phông / Áo thun,ao-phong-nam-5tl25w001-sw001,Áo phông unisex người lớn Cotton USA có hình in,5TL25W001-SW001,499000,349300,https://canifa.com/ao-phong-nam-5tl25w001-sw001,"Áo phông unisex người lớn Cotton USA, dài tay cổ tim có phối màu tay áo, điểm nhấn đồ họa trẻ trung phù hợp cho cả nam và nữ.",https://2885371169.e.cdneverest.net/catalog/product/5/t/5tl25w001-sw001-l-1-u.webp,D:\canifa_dataset\images\ao-phong-nam-5tl25w001-sw001_1.webp,https://2885371169.e.cdneverest.net/catalog/product/5/t/5tl25w001-sw001-l-2.webp,D:\canifa_dataset\images\ao-phong-nam-5tl25w001-sw001_2.webp,https://2885371169.e.cdneverest.net/catalog/product/5/t/5tl25w001-sw001-l-3.webp,D:\canifa_dataset\images\ao-phong-nam-5tl25w001-sw001_3.webp
canifa,nu,ao-phong,Áo phông / Áo thun,ao-phong-nu-6ts25w002-sk010,Áo phông nữ cotton USA dáng rộng có hình in,6TS25W002-SK010,299000,209300,https://canifa.com/ao-phong-nu-6ts25w002-sk010,"Áo phông nữ dáng rộng, chất liệu 100% cotton USA mềm mại, thoáng mát, điểm nhấn là các thiết kế đồ họa đa dạng tạo nên nhiều sự lựa chọn phong phú cho khách hàng.",https://2885371169.e.cdneverest.net/catalog/product/6/t/6ts25w002-sk010-1.webp,D:\canifa_dataset\images\ao-phong-nu-6ts25w002-sk010_1.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6ts25w002-sk010-m-1-u.webp,D:\canifa_dataset\images\ao-phong-nu-6ts25w002-sk010_2.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6ts25w002-sk010-m-2.webp,D:\canifa_dataset\images\ao-phong-nu-6ts25w002-sk010_3.webp
canifa,nu,ao-phong,Áo phông / Áo thun,ao-phong-unisex-nguoi-lon-5ts25w002,Áo phông Unisex cotton USA có hình in,5TS25W002,399000,199500,https://canifa.com/ao-phong-unisex-nguoi-lon-5ts25w002,"Áo phông unisex cotton USA có hình in mang tinh thần trẻ trung và năng động, dễ dàng kết hợp cùng nhiều trang phục thường ngày.Chất liệu 100% cotton USA mềm mại, thoáng mát, thấm hút tốt giúp bạn luôn thoải mái trong mọi hoạt động.",https://2885371169.e.cdneverest.net/catalog/product/5/t/5ts25w002-sw119-m-1-u.webp,D:\canifa_dataset\images\ao-phong-unisex-nguoi-lon-5ts25w002_1.webp,https://2885371169.e.cdneverest.net/catalog/product/5/t/5ts25w002-sw119-m-2.webp,D:\canifa_dataset\images\ao-phong-unisex-nguoi-lon-5ts25w002_2.webp,https://2885371169.e.cdneverest.net/catalog/product/5/t/5ts25w002-sw119-m-3.webp,D:\canifa_dataset\images\ao-phong-unisex-nguoi-lon-5ts25w002_3.webp
canifa,nu,ao-phong,Áo phông / Áo thun,ao-phong-nu-6ts25w003-sr072,Áo phông nữ cotton USA dáng oversize,6TS25W003-SR072,399000,179000,https://canifa.com/ao-phong-nu-6ts25w003-sr072,"Áo phông nữ dáng oversize, chất liệu Cotton USA dày dặn, thấm hút tốt.Hình đồ họa cá tính và khỏe khoắn tạo điểm nhấn, mang đến phong cách trẻ trung và phóng khoáng.",https://2885371169.e.cdneverest.net/catalog/product/6/t/6ts25w003-sr072-m-1-u.webp,D:\canifa_dataset\images\ao-phong-nu-6ts25w003-sr072_1.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6ts25w003-sr072-m-2.webp,D:\canifa_dataset\images\ao-phong-nu-6ts25w003-sr072_2.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6ts25w003-sr072-m-3.webp,D:\canifa_dataset\images\ao-phong-nu-6ts25w003-sr072_3.webp
canifa,nu,ao-phong,Áo phông / Áo thun,ao-phong-nu-6ts25w003-sw001,Áo phông nữ cotton USA dáng oversize,6TS25W003-SW001,399000,179000,https://canifa.com/ao-phong-nu-6ts25w003-sw001,"Áo phông nữ dáng oversize, chất liệu Cotton USA dày dặn, thấm hút tốt.Hình đồ họa cá tính và khỏe khoắn tạo điểm nhấn, mang đến phong cách trẻ trung và phóng khoáng.",https://2885371169.e.cdneverest.net/catalog/product/6/t/6ts25w003-sw001-1.webp,D:\canifa_dataset\images\ao-phong-nu-6ts25w003-sw001_1.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6ts25w003-sw001-m-1-u.webp,D:\canifa_dataset\images\ao-phong-nu-6ts25w003-sw001_2.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6ts25w003-sw001-m-2.webp,D:\canifa_dataset\images\ao-phong-nu-6ts25w003-sw001_3.webp
canifa,nu,so-mi-ao-kieu,Áo sơ mi & Áo kiểu,ao-kieu-nu-6to26s003-fy061,Áo kiểu nữ tay bồng,6TO26S003-FY061,599000,419300,https://canifa.com/ao-kieu-nu-6to26s003-fy061,"Áo kiểu nữ với form rộng thoải mái, có chi tiết đan dây buộc phía trước ngực.Chất liệu màu FY061:85% rayon 15% linen mềm mại, thoáng mát; màu PW230 chất liệu 100% cotton thấm hút, mềm mịn.Sản phẩm phù hợp mặc đi học, đi làm hoặc dạo phố nhờ kiểu dáng linh hoạt và dễ phối.",https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s003-fy061-s-1-u.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s003-fy061_1.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s003-fy061-s-2.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s003-fy061_2.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s003-fy061-s-4.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s003-fy061_3.webp
canifa,nu,so-mi-ao-kieu,Áo sơ mi & Áo kiểu,ao-kieu-nu-6to26s003-pw230,Áo kiểu nữ tay bồng,6TO26S003-PW230,599000,419300,https://canifa.com/ao-kieu-nu-6to26s003-pw230,"Áo kiểu nữ với form rộng thoải mái, có chi tiết đan dây buộc phía trước ngực.Chất liệu màu FY061:85% rayon 15% linen mềm mại, thoáng mát; màu PW230 chất liệu 100% cotton thấm hút, mềm mịn.Sản phẩm phù hợp mặc đi học, đi làm hoặc dạo phố nhờ kiểu dáng linh hoạt và dễ phối.",https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s003-pw230-1.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s003-pw230_1.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s003-pw230-2.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s003-pw230_2.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s003-pw230-5.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s003-pw230_3.webp
canifa,nu,so-mi-ao-kieu,Áo sơ mi & Áo kiểu,ao-kieu-nu-6to26s002-db086,Áo kiểu nữ sát nách dáng suông,6TO26S002-DB086,499000,349300,https://canifa.com/ao-kieu-nu-6to26s002-db086,"Áo kiểu nữ sát nách, dáng suông rộng vừa, dễ mặc và dễ phối cùng nhiều trang phục.Thiết kế tối giản giúp tôn dáng và tạo vẻ ngoài chỉn chu khi mặc hàng ngày.Chất liệu cotton pha cho cảm giác mềm và nhẹ, phù hợp để sử dụng thường xuyên.",https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s002-db086-m-1-u.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s002-db086_1.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s002-db086-m-2.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s002-db086_2.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s002-db086-m-4.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s002-db086_3.webp
canifa,nu,so-mi-ao-kieu,Áo sơ mi & Áo kiểu,ao-kieu-nu-6to26s002-sw001,Áo kiểu nữ sát nách dáng suông,6TO26S002-SW001,499000,349300,https://canifa.com/ao-kieu-nu-6to26s002-sw001,"Áo kiểu nữ sát nách, dáng suông rộng vừa, dễ mặc và dễ phối cùng nhiều trang phục.Thiết kế tối giản giúp tôn dáng và tạo vẻ ngoài chỉn chu khi mặc hàng ngày.Chất liệu cotton pha cho cảm giác mềm và nhẹ, phù hợp để sử dụng thường xuyên.",https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s002-sw001-1.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s002-sw001_1.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s002-sw001-m-1-u.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s002-sw001_2.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s002-sw001-m-2.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s002-sw001_3.webp
canifa,nu,so-mi-ao-kieu,Áo sơ mi & Áo kiểu,ao-so-mi-6th26s006-fk137,Áo sơ mi nữ rayon linen dáng ngắn,6TH26S006-FK137,499000,,https://canifa.com/ao-so-mi-6th26s006-fk137,"Áo sơ mi nữ cổ đức, dáng suông ngắn, đường may sắc nét. Chất liệu rayon linen mềm mại, dễ chịu. Hoàn cảnh sử dụng linh hoạt.",https://2885371169.e.cdneverest.net/catalog/product/6/t/6th26s006-fk137-1.webp,D:\canifa_dataset\images\ao-so-mi-6th26s006-fk137_1.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6th26s006-fk137-m-1-u.webp,D:\canifa_dataset\images\ao-so-mi-6th26s006-fk137_2.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6th26s006-fk137-m-2.webp,D:\canifa_dataset\images\ao-so-mi-6th26s006-fk137_3.webp
canifa,nu,so-mi-ao-kieu,Áo sơ mi & Áo kiểu,ao-so-mi-6th26s006-sw001,Áo sơ mi nữ rayon linen dáng ngắn,6TH26S006-SW001,499000,,https://canifa.com/ao-so-mi-6th26s006-sw001,"Áo sơ mi nữ cổ đức, dáng suông ngắn, đường may sắc nét. Chất liệu rayon linen mềm mại, dễ chịu. Hoàn cảnh sử dụng linh hoạt.",https://2885371169.e.cdneverest.net/catalog/product/6/t/6th26s006-sw001-1.webp,D:\canifa_dataset\images\ao-so-mi-6th26s006-sw001_1.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6th26s006-sw001-m-1-u.webp,D:\canifa_dataset\images\ao-so-mi-6th26s006-sw001_2.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6th26s006-sw001-m-2.webp,D:\canifa_dataset\images\ao-so-mi-6th26s006-sw001_3.webp
canifa,nu,so-mi-ao-kieu,Áo sơ mi & Áo kiểu,ao-kieu-nu-6to26s005-sk010,Áo kiểu nữ cotton gile sát nách có lót,6TO26S005-SK010,599000,419300,https://canifa.com/ao-kieu-nu-6to26s005-sk010,"Áo ghi lê sát nách nữ có lớp lót trong. Thiết kế dáng suông có đai thắt eo, phù hợp đi chơi, dạo phố.Chất liệu 100% cotton thân thiện với môi trường, thấm hút tốt, thoáng mát khi mặc.",https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s005-sk010-1.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s005-sk010_1.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s005-sk010-m-1-u.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s005-sk010_2.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s005-sk010-m-2.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s005-sk010_3.webp
canifa,nu,so-mi-ao-kieu,Áo sơ mi & Áo kiểu,ao-kieu-nu-6to26s005-sw001,Áo kiểu nữ cotton gile sát nách có lót,6TO26S005-SW001,599000,419300,https://canifa.com/ao-kieu-nu-6to26s005-sw001,"Áo ghi lê sát nách nữ có lớp lót trong. Thiết kế dáng suông có đai thắt eo, phù hợp đi chơi, dạo phố.Chất liệu 100% cotton thân thiện với môi trường, thấm hút tốt, thoáng mát khi mặc.",https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s005-sw001-m-1-u.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s005-sw001_1.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s005-sw001-m-2.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s005-sw001_2.webp,https://2885371169.e.cdneverest.net/catalog/product/6/t/6to26s005-sw001-m-4.webp,D:\canifa_dataset\images\ao-kieu-nu-6to26s005-sw001_3.webp
